time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099958,-0.349369,-20.017,0,0.373736,0.328098,0.001722,0.099,0.000775,-0.033441,0.279816,-2.786875,0.453951,3.131880
0.001000,0.099963,-0.349375,-20.018,0,0.373620,0.328086,0.001710,0.098,0.000769,-0.033449,0.279696,-2.786870,0.453654,3.131867
0.002000,0.099981,-0.349380,-20.018,0,0.373500,0.328074,0.001697,0.097,0.000764,-0.033461,0.279559,-2.786865,0.453344,3.131855
0.003000,0.100000,-0.349384,-20.018,0,0.373374,0.328061,0.001684,0.096,0.000758,-0.033474,0.279415,-2.786860,0.453019,3.131842
0.004000,0.100015,-0.349387,-20.018,0,0.373242,0.328047,0.001670,0.096,0.000752,-0.033486,0.279269,-2.786855,0.452679,3.131829
0.005000,0.100022,-0.349390,-20.019,0,0.373105,0.328032,0.001656,0.095,0.000745,-0.033495,0.279126,-2.786850,0.452324,3.131815
0.006000,0.100021,-0.349392,-20.019,0,0.372963,0.328017,0.001640,0.094,0.000738,-0.033502,0.278984,-2.786844,0.451955,3.131802
0.007000,0.100016,-0.349394,-20.019,0,0.372815,0.328001,0.001624,0.093,0.000731,-0.033507,0.278842,-2.786838,0.451571,3.131788
0.008000,0.100009,-0.349395,-20.019,0,0.372661,0.327984,0.001608,0.092,0.000724,-0.033512,0.278695,-2.786832,0.451172,3.131773
0.009000,0.100003,-0.349396,-20.019,0,0.372503,0.327967,0.001591,0.091,0.000716,-0.033518,0.278542,-2.786825,0.450758,3.131759
0.010000,0.100000,-0.349397,-20.019,0,0.372339,0.327949,0.001573,0.090,0.000708,-0.033525,0.278381,-2.786817,0.450330,3.131744
0.011000,0.100000,-0.349397,-20.019,0,0.372169,0.327931,0.001554,0.089,0.000699,-0.033534,0.278212,-2.786809,0.449886,3.131729
0.012000,0.100002,-0.349398,-20.019,0,0.371995,0.327912,0.001535,0.088,0.000691,-0.033543,0.278035,-2.786800,0.449428,3.131713
0.013000,0.100004,-0.349398,-20.019,0,0.371815,0.327892,0.001516,0.087,0.000682,-0.033553,0.277853,-2.786791,0.448955,3.131698
0.014000,0.100006,-0.349399,-20.019,0,0.371629,0.327873,0.001496,0.086,0.000673,-0.033562,0.277665,-2.786781,0.448467,3.131682
0.015000,0.100008,-0.349399,-20.019,0,0.371438,0.327852,0.001476,0.085,0.000664,-0.033572,0.277473,-2.786771,0.447964,3.131666
0.016000,0.100008,-0.349399,-20.019,0,0.371241,0.327831,0.001455,0.083,0.000655,-0.033581,0.277276,-2.786761,0.447446,3.131649
0.017000,0.100007,-0.349399,-20.019,0,0.371039,0.327810,0.001433,0.082,0.000645,-0.033591,0.277075,-2.786750,0.446913,3.131633
0.018000,0.100006,-0.349399,-20.019,0,0.370832,0.327788,0.001412,0.081,0.000635,-0.033600,0.276868,-2.786739,0.446366,3.131616
0.019000,0.100006,-0.349400,-20.019,0,0.370619,0.327766,0.001390,0.080,0.000625,-0.033610,0.276656,-2.786727,0.445803,3.131599
0.020000,0.100005,-0.349400,-20.019,0,0.370401,0.327744,0.001368,0.078,0.000615,-0.033620,0.276438,-2.786716,0.445225,3.131582
