time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099958,-0.173398,-9.935,0,0.373393,0.328152,0.001776,0.102,0.000799,-0.016447,0.274934,-2.963170,0.452091,3.131164
0.001000,0.099964,-0.173398,-9.935,0,0.373277,0.328145,0.001768,0.101,0.000796,-0.016451,0.274812,-2.963171,0.451792,3.131156
0.002000,0.099981,-0.173399,-9.935,0,0.373154,0.328137,0.001760,0.101,0.000792,-0.016458,0.274673,-2.963171,0.451479,3.131148
0.003000,0.100001,-0.173399,-9.935,0,0.373027,0.328128,0.001752,0.100,0.000788,-0.016465,0.274526,-2.963170,0.451151,3.131140
0.004000,0.100016,-0.173399,-9.935,0,0.372894,0.328119,0.001742,0.100,0.000784,-0.016472,0.274378,-2.963167,0.450808,3.131132
0.005000,0.100023,-0.173399,-9.935,0,0.372755,0.328109,0.001733,0.099,0.000780,-0.016477,0.274233,-2.963164,0.450450,3.131123
0.006000,0.100022,-0.173399,-9.935,0,0.372612,0.328099,0.001722,0.099,0.000775,-0.016482,0.274090,-2.963160,0.450077,3.131115
0.007000,0.100016,-0.173400,-9.935,0,0.372462,0.328088,0.001712,0.098,0.000770,-0.016486,0.273946,-2.963155,0.449690,3.131106
0.008000,0.100009,-0.173400,-9.935,0,0.372307,0.328077,0.001700,0.097,0.000765,-0.016490,0.273798,-2.963150,0.449287,3.131097
0.009000,0.100003,-0.173400,-9.935,0,0.372147,0.328065,0.001688,0.097,0.000760,-0.016494,0.273644,-2.963143,0.448870,3.131088
0.010000,0.100000,-0.173400,-9.935,0,0.371982,0.328053,0.001676,0.096,0.000754,-0.016499,0.273481,-2.963136,0.448437,3.131079
0.011000,0.100000,-0.173400,-9.935,0,0.371811,0.328040,0.001663,0.095,0.000749,-0.016505,0.273310,-2.963128,0.447990,3.131070
0.012000,0.100002,-0.173400,-9.935,0,0.371634,0.328027,0.001650,0.095,0.000743,-0.016511,0.273132,-2.963119,0.447528,3.131061
0.013000,0.100004,-0.173400,-9.935,0,0.371453,0.328013,0.001637,0.094,0.000737,-0.016517,0.272948,-2.963109,0.447051,3.131051
0.014000,0.100007,-0.173400,-9.935,0,0.371265,0.328000,0.001623,0.093,0.000730,-0.016524,0.272758,-2.963099,0.446559,3.131042
0.015000,0.100008,-0.173400,-9.935,0,0.371072,0.327985,0.001609,0.092,0.000724,-0.016531,0.272564,-2.963089,0.446052,3.131032
0.016000,0.100008,-0.173400,-9.935,0,0.370874,0.327971,0.001594,0.091,0.000717,-0.016537,0.272366,-2.963078,0.445529,3.131023
0.017000,0.100008,-0.173400,-9.935,0,0.370671,0.327956,0.001580,0.091,0.000711,-0.016544,0.272163,-2.963066,0.444992,3.131013
0.018000,0.100007,-0.173400,-9.935,0,0.370461,0.327941,0.001565,0.090,0.000704,-0.016550,0.271954,-2.963054,0.444440,3.131003
0.019000,0.100006,-0.173400,-9.935,0,0.370247,0.327926,0.001550,0.089,0.000697,-0.016557,0.271741,-2.963042,0.443873,3.130993
0.020000,0.100005,-0.173400,-9.935,0,0.370027,0.327911,0.001535,0.088,0.000691,-0.016564,0.271521,-2.963030,0.443290,3.130983
0.021000,0.100005,-0.173400,-9.935,0,0.369801,0.327896,0.001519,0.087,0.000684,-0.016571,0.271295,-2.963017,0.442693,3.130973
0.022000,0.100005,-0.173400,-9.935,0,0.369570,0.327880,0.001504,0.086,0.000677,-0.016578,0.271064,-2.963005,0.442081,3.130963
0.023000,0.100006,-0.173400,-9.935,0,0.369333,0.327865,0.001488,0.085,0.000670,-0.016585,0.270827,-2.962992,0.441454,3.130953
0.024000,0.100006,-0.173400,-9.935,0,0.369091,0.327849,0.001472,0.084,0.000663,-0.016592,0.270584,-2.962979,0.440812,3.130943
0.025000,0.100006,-0.173400,-9.935,0,0.368843,0.327833,0.001457,0.083,0.000656,-0.016599,0.270336,-2.962967,0.440155,3.130932
0.026000,0.100006,-0.173400,-9.935,0,0.368589,0.327818,0.001441,0.083,0.000648,-0.016606,0.270083,-2.962954,0.439483,3.130922
0.027000,0.100006,-0.173400,-9.935,0,0.368330,0.327802,0.001425,0.082,0.000641,-0.016613,0.269824,-2.962941,0.438796,3.130912
0.028000,0.100006,-0.173400,-9.935,0,0.368066,0.327786,0.001409,0.081,0.000634,-0.016620,0.269559,-2.962928,0.438095,3.130901
0.029000,0.100006,-0.173400,-9.935,0,0.367795,0.327770,0.001394,0.080,0.000627,-0.016627,0.269289,-2.962916,0.437378,3.130891
0.030000,0.100006,-0.173400,-9.935,0,0.367520,0.327755,0.001378,0.079,0.000620,-0.016634,0.269013,-2.962903,0.436647,3.130881
0.031000,0.100006,-0.173400,-9.935,0,0.367238,0.327739,0.001362,0.078,0.000613,-0.016641,0.268732,-2.962891,0.435901,3.130870
0.032000,0.100006,-0.173400,-9.935,0,0.366951,0.327723,0.001347,0.077,0.000606,-0.016648,0.268445,-2.962879,0.435140,3.130860
0.033000,0.100006,-0.173400,-9.935,0,0.366657,0.327722,0.001345,0.077,0.000605,-0.016649,0.268151,-2.962865,0.434363,3.130864
0.034000,0.100006,-0.173400,-9.935,0,0.366357,0.327721,0.001344,0.077,0.000605,-0.016649,0.267851,-2.962852,0.433570,3.130869
0.035000,0.100006,-0.173400,-9.935,0,0.366052,0.327721,0.001344,0.077,0.000605,-0.016649,0.267546,-2.962839,0.432763,3.130874
0.036000,0.100006,-0.173400,-9.935,0,0.365741,0.327720,0.001344,0.077,0.000605,-0.016650,0.267235,-2.962826,0.431941,3.130879
0.037000,0.100006,-0.173400,-9.935,0,0.365424,0.327720,0.001344,0.077,0.000605,-0.016650,0.266918,-2.962813,0.431104,3.130884
0.038000,0.100006,-0.173400,-9.935,0,0.365102,0.327720,0.001343,0.077,0.000605,-0.016650,0.266595,-2.962800,0.430253,3.130889
