time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099959,-0.070391,-4.033,0,0.373321,0.328163,0.001787,0.102,0.000804,-0.006226,0.273610,-3.066283,0.450961,3.130914
0.001000,0.099964,-0.070393,-4.033,0,0.373204,0.328156,0.001779,0.102,0.000801,-0.006230,0.273488,-3.066283,0.450662,3.130906
0.002000,0.099981,-0.070394,-4.033,0,0.373081,0.328148,0.001771,0.101,0.000797,-0.006235,0.273348,-3.066281,0.450347,3.130899
0.003000,0.100001,-0.070396,-4.033,0,0.372953,0.328140,0.001763,0.101,0.000793,-0.006240,0.273200,-3.066279,0.450018,3.130891
0.004000,0.100016,-0.070396,-4.033,0,0.372820,0.328131,0.001754,0.101,0.000789,-0.006246,0.273052,-3.066276,0.449675,3.130883
0.005000,0.100023,-0.070397,-4.033,0,0.372681,0.328121,0.001745,0.100,0.000785,-0.006250,0.272906,-3.066273,0.449316,3.130875
0.006000,0.100022,-0.070398,-4.033,0,0.372536,0.328112,0.001735,0.099,0.000781,-0.006255,0.272762,-3.066268,0.448942,3.130867
0.007000,0.100016,-0.070398,-4.034,0,0.372387,0.328102,0.001725,0.099,0.000776,-0.006259,0.272618,-3.066263,0.448554,3.130859
0.008000,0.100009,-0.070399,-4.034,0,0.372231,0.328091,0.001714,0.098,0.000771,-0.006263,0.272470,-3.066257,0.448150,3.130851
0.009000,0.100003,-0.070399,-4.034,0,0.372071,0.328080,0.001703,0.098,0.000767,-0.006268,0.272315,-3.066250,0.447732,3.130843
0.010000,0.100000,-0.070399,-4.034,0,0.371905,0.328069,0.001692,0.097,0.000761,-0.006273,0.272152,-3.066242,0.447298,3.130834
0.011000,0.100000,-0.070399,-4.034,0,0.371733,0.328057,0.001680,0.096,0.000756,-0.006278,0.271981,-3.066233,0.446850,3.130826
0.012000,0.100002,-0.070399,-4.034,0,0.371556,0.328045,0.001668,0.096,0.000751,-0.006284,0.271802,-3.066224,0.446386,3.130818
0.013000,0.100004,-0.070400,-4.034,0,0.371374,0.328033,0.001656,0.095,0.000745,-0.006289,0.271617,-3.066214,0.445908,3.130810
0.014000,0.100007,-0.070400,-4.034,0,0.371186,0.328020,0.001643,0.094,0.000740,-0.006295,0.271427,-3.066204,0.445415,3.130802
0.015000,0.100008,-0.070400,-4.034,0,0.370993,0.328007,0.001631,0.093,0.000734,-0.006301,0.271233,-3.066193,0.444906,3.130794
0.016000,0.100008,-0.070400,-4.034,0,0.370794,0.327994,0.001618,0.093,0.000728,-0.006307,0.271034,-3.066182,0.444383,3.130786
0.017000,0.100008,-0.070400,-4.034,0,0.370590,0.327981,0.001604,0.092,0.000722,-0.006313,0.270830,-3.066170,0.443844,3.130778
0.018000,0.100007,-0.070400,-4.034,0,0.370380,0.327968,0.001591,0.091,0.000716,-0.006319,0.270621,-3.066158,0.443291,3.130770
0.019000,0.100006,-0.070400,-4.034,0,0.370165,0.327954,0.001578,0.090,0.000710,-0.006325,0.270407,-3.066145,0.442722,3.130762
0.020000,0.100005,-0.070400,-4.034,0,0.369945,0.327941,0.001564,0.090,0.000704,-0.006331,0.270187,-3.066133,0.442138,3.130754
0.021000,0.100005,-0.070400,-4.034,0,0.369718,0.327928,0.001551,0.089,0.000698,-0.006337,0.269961,-3.066120,0.441540,3.130746
0.022000,0.100005,-0.070400,-4.034,0,0.369487,0.327914,0.001537,0.088,0.000692,-0.006343,0.269729,-3.066107,0.440926,3.130738
0.023000,0.100006,-0.070400,-4.034,0,0.369249,0.327901,0.001524,0.087,0.000686,-0.006349,0.269491,-3.066094,0.440297,3.130730
0.024000,0.100006,-0.070400,-4.034,0,0.369006,0.327887,0.001511,0.087,0.000680,-0.006355,0.269248,-3.066081,0.439654,3.130722
0.025000,0.100006,-0.070400,-4.034,0,0.368758,0.327874,0.001497,0.086,0.000674,-0.006361,0.268999,-3.066068,0.438995,3.130714
0.026000,0.100006,-0.070400,-4.034,0,0.368504,0.327860,0.001484,0.085,0.000668,-0.006367,0.268745,-3.066055,0.438322,3.130706
0.027000,0.100006,-0.070400,-4.034,0,0.368244,0.327847,0.001471,0.084,0.000662,-0.006373,0.268486,-3.066042,0.437634,3.130699
0.028000,0.100006,-0.070400,-4.034,0,0.367979,0.327834,0.001458,0.084,0.000656,-0.006379,0.268221,-3.066029,0.436930,3.130691
0.029000,0.100006,-0.070400,-4.034,0,0.367708,0.327821,0.001444,0.083,0.000650,-0.006385,0.267950,-3.066016,0.436212,3.130683
0.030000,0.100006,-0.070400,-4.034,0,0.367432,0.327808,0.001432,0.082,0.000644,-0.006390,0.267674,-3.066003,0.435480,3.130676
0.031000,0.100006,-0.070400,-4.034,0,0.367150,0.327795,0.001419,0.081,0.000638,-0.006396,0.267392,-3.065991,0.434732,3.130668
0.032000,0.100006,-0.070400,-4.034,0,0.366862,0.327783,0.001406,0.081,0.000633,-0.006402,0.267104,-3.065978,0.433970,3.130661
0.033000,0.100006,-0.070400,-4.034,0,0.366568,0.327770,0.001393,0.080,0.000627,-0.006408,0.266810,-3.065966,0.433192,3.130653
0.034000,0.100006,-0.070400,-4.034,0,0.366269,0.327757,0.001381,0.079,0.000621,-0.006413,0.266511,-3.065953,0.432401,3.130646
0.035000,0.100006,-0.070400,-4.034,0,0.365964,0.327745,0.001368,0.078,0.000616,-0.006419,0.266206,-3.065941,0.431594,3.130639
0.036000,0.100006,-0.070400,-4.034,0,0.365653,0.327744,0.001368,0.078,0.000616,-0.006419,0.265895,-3.065928,0.430772,3.130644
0.037000,0.100006,-0.070400,-4.034,0,0.365337,0.327745,0.001368,0.078,0.000616,-0.006419,0.265578,-3.065915,0.429936,3.130650
0.038000,0.100006,-0.070400,-4.034,0,0.365014,0.327745,0.001369,0.078,0.000616,-0.006419,0.265256,-3.065901,0.429085,3.130656
0.039000,0.100006,-0.070400,-4.034,0,0.364686,0.327746,0.001369,0.078,0.000616,-0.006418,0.264927,-3.065888,0.428219,3.130662
0.040000,0.100006,-0.070400,-4.034,0,0.364352,0.327747,0.001370,0.079,0.000617,-0.006418,0.264594,-3.065875,0.427338,3.130668
0.041000,0.100006,-0.070400,-4.034,0,0.364012,0.327748,0.001371,0.079,0.000617,-0.006418,0.264254,-3.065863,0.426443,3.130674
0.042000,0.100006,-0.070400,-4.034,0,0.363666,0.327749,0.001372,0.079,0.000617,-0.006417,0.263908,-3.065850,0.425534,3.130680
0.043000,0.100006,-0.070400,-4.034,0,0.363315,0.327750,0.001373,0.079,0.000618,-0.006417,0.263557,-3.065837,0.424610,3.130686
0.044000,0.100006,-0.070400,-4.034,0,0.362958,0.327751,0.001374,0.079,0.000618,-0.006416,0.263199,-3.065825,0.423671,3.130692
0.045000,0.100006,-0.070400,-4.034,0,0.362595,0.327752,0.001375,0.079,0.000619,-0.006416,0.262836,-3.065812,0.422718,3.130699
0.046000,0.100006,-0.070400,-4.034,0,0.362226,0.327753,0.001376,0.079,0.000619,-0.006415,0.262467,-3.065799,0.421750,3.130705
0.047000,0.100006,-0.070400,-4.034,0,0.361851,0.327754,0.001377,0.079,0.000620,-0.006415,0.262093,-3.065786,0.420768,3.130711
0.048000,0.100006,-0.070400,-4.034,0,0.361470,0.327755,0.001378,0.079,0.000620,-0.006414,0.261712,-3.065773,0.419771,3.130718
0.049000,0.100006,-0.070400,-4.034,0,0.361084,0.327756,0.001379,0.079,0.000621,-0.006414,0.261325,-3.065760,0.418759,3.130724
0.050000,0.100006,-0.070400,-4.034,0,0.360691,0.327757,0.001380,0.079,0.000621,-0.006414,0.260933,-3.065747,0.417733,3.130730
0.051000,0.100006,-0.070400,-4.034,0,0.360293,0.327758,0.001381,0.079,0.000622,-0.006413,0.260535,-3.065734,0.416693,3.130737
0.052000,0.100006,-0.070400,-4.034,0,0.359889,0.327759,0.001382,0.079,0.000622,-0.006413,0.260130,-3.065720,0.415638,3.130743
0.053000,0.100006,-0.070400,-4.034,0,0.359479,0.327760,0.001383,0.079,0.000622,-0.006412,0.259720,-3.065706,0.414568,3.130749
0.054000,0.100006,-0.070400,-4.034,0,0.359063,0.327760,0.001384,0.079,0.000623,-0.006412,0.259304,-3.065692,0.413484,3.130756
0.055000,0.100006,-0.070400,-4.034,0,0.358641,0.327761,0.001384,0.079,0.000623,-0.006412,0.258882,-3.065678,0.412385,3.130762
0.056000,0.100006,-0.070400,-4.034,0,0.358213,0.327762,0.001385,0.079,0.000623,-0.006411,0.258454,-3.065664,0.411272,3.130769
0.057000,0.100006,-0.070400,-4.034,0,0.357779,0.327762,0.001385,0.079,0.000623,-0.006411,0.258020,-3.065649,0.410143,3.130775
0.058000,0.100006,-0.070400,-4.034,0,0.357339,0.327762,0.001386,0.079,0.000624,-0.006411,0.257580,-3.065634,0.409001,3.130781
0.059000,0.100006,-0.070400,-4.034,0,0.356893,0.327763,0.001386,0.079,0.000624,-0.006411,0.257135,-3.065618,0.407843,3.130788
0.060000,0.100006,-0.070400,-4.034,0,0.356441,0.327763,0.001386,0.079,0.000624,-0.006411,0.256683,-3.065602,0.406671,3.130794
0.061000,0.100006,-0.070400,-4.034,0,0.355984,0.327763,0.001386,0.079,0.000624,-0.006411,0.256225,-3.065586,0.405484,3.130801
0.062000,0.100006,-0.070400,-4.034,0,0.355520,0.327763,0.001386,0.079,0.000624,-0.006411,0.255761,-3.065570,0.404283,3.130807
0.063000,0.100006,-0.070400,-4.034,0,0.355050,0.327762,0.001386,0.079,0.000624,-0.006411,0.255292,-3.065553,0.403067,3.130813
0.064000,0.100006,-0.070400,-4.034,0,0.354575,0.327762,0.001385,0.079,0.000623,-0.006411,0.254816,-3.065536,0.401836,3.130820
0.065000,0.100007,-0.070400,-4.034,0,0.354093,0.327762,0.001385,0.079,0.000623,-0.006411,0.254334,-3.065518,0.400590,3.130826
0.066000,0.100007,-0.070400,-4.034,0,0.353606,0.327761,0.001384,0.079,0.000623,-0.006412,0.253847,-3.065501,0.399329,3.130832
0.067000,0.100007,-0.070400,-4.034,0,0.353112,0.327760,0.001384,0.079,0.000623,-0.006412,0.253353,-3.065483,0.398054,3.130839
0.068000,0.100007,-0.070400,-4.034,0,0.352612,0.327759,0.001383,0.079,0.000622,-0.006412,0.252853,-3.065464,0.396763,3.130845
0.069000,0.100007,-0.070400,-4.034,0,0.352106,0.327758,0.001382,0.079,0.000622,-0.006413,0.252348,-3.065445,0.395458,3.130851
0.070000,0.100007,-0.070400,-4.034,0,0.351595,0.327757,0.001381,0.079,0.000621,-0.006413,0.251836,-3.065426,0.394138,3.130857
0.071000,0.100007,-0.070400,-4.034,0,0.351077,0.327756,0.001380,0.079,0.000621,-0.006414,0.251318,-3.065407,0.392803,3.130864
0.072000,0.100007,-0.070400,-4.034,0,0.350553,0.327755,0.001378,0.079,0.000620,-0.006414,0.250794,-3.065388,0.391453,3.130870
0.073000,0.100007,-0.070400,-4.034,0,0.350023,0.327754,0.001377,0.079,0.000620,-0.006415,0.250264,-3.065368,0.390088,3.130876
0.074000,0.100007,-0.070400,-4.034,0,0.349487,0.327752,0.001376,0.079,0.000619,-0.006416,0.249728,-3.065348,0.388708,3.130882
0.075000,0.100007,-0.070400,-4.034,0,0.348945,0.327751,0.001374,0.079,0.000618,-0.006416,0.249186,-3.065327,0.387314,3.130888
0.076000,0.100007,-0.070400,-4.034,0,0.348397,0.327749,0.001372,0.079,0.000618,-0.006417,0.248638,-3.065307,0.385904,3.130895
0.077000,0.100007,-0.070400,-4.034,0,0.347843,0.327747,0.001371,0.079,0.000617,-0.006418,0.248084,-3.065286,0.384479,3.130901
0.078000,0.100007,-0.070400,-4.034,0,0.347283,0.327746,0.001369,0.078,0.000616,-0.006419,0.247524,-3.065265,0.383039,3.130907
0.079000,0.100007,-0.070400,-4.034,0,0.346717,0.327744,0.001367,0.078,0.000615,-0.006419,0.246957,-3.065244,0.381584,3.130913
0.080000,0.100007,-0.070400,-4.034,0,0.346144,0.327742,0.001365,0.078,0.000614,-0.006420,0.246385,-3.065223,0.380114,3.130919
0.081000,0.100007,-0.070400,-4.034,0,0.345565,0.327740,0.001364,0.078,0.000614,-0.006421,0.245806,-3.065201,0.378629,3.130925
0.082000,0.100007,-0.070400,-4.034,0,0.344981,0.327738,0.001362,0.078,0.000613,-0.006422,0.245222,-3.065179,0.377129,3.130931
0.083000,0.100007,-0.070400,-4.034,0,0.344390,0.327736,0.001360,0.078,0.000612,-0.006423,0.244631,-3.065157,0.375614,3.130937
0.084000,0.100007,-0.070400,-4.034,0,0.343793,0.327734,0.001358,0.078,0.000611,-0.006424,0.244034,-3.065135,0.374083,3.130944
0.085000,0.100007,-0.070400,-4.034,0,0.343190,0.327732,0.001356,0.078,0.000610,-0.006425,0.243430,-3.065113,0.372538,3.130950
0.086000,0.100007,-0.070400,-4.034,0,0.342580,0.327730,0.001354,0.078,0.000609,-0.006426,0.242821,-3.065091,0.370977,3.130956
0.087000,0.100007,-0.070400,-4.034,0,0.341965,0.327729,0.001353,0.078,0.000609,-0.006426,0.242205,-3.065068,0.369401,3.130963
0.088000,0.100007,-0.070400,-4.034,0,0.341343,0.327729,0.001352,0.077,0.000608,-0.006426,0.241584,-3.065046,0.367810,3.130970
0.089000,0.100007,-0.070400,-4.034,0,0.340715,0.327728,0.001351,0.077,0.000608,-0.006427,0.240955,-3.065023,0.366204,3.130978
0.090000,0.100007,-0.070400,-4.034,0,0.340081,0.327727,0.001350,0.077,0.000608,-0.006427,0.240321,-3.065000,0.364583,3.130985
0.091000,0.100007,-0.070400,-4.034,0,0.339440,0.327726,0.001350,0.077,0.000607,-0.006427,0.239681,-3.064977,0.362946,3.130993
0.092000,0.100007,-0.070400,-4.034,0,0.338793,0.327726,0.001349,0.077,0.000607,-0.006428,0.239034,-3.064954,0.361295,3.131000
0.093000,0.100007,-0.070400,-4.034,0,0.338140,0.327725,0.001348,0.077,0.000607,-0.006428,0.238381,-3.064930,0.359628,3.131008
0.094000,0.100007,-0.070400,-4.034,0,0.337481,0.327724,0.001348,0.077,0.000606,-0.006428,0.237722,-3.064907,0.357946,3.131015
0.095000,0.100007,-0.070400,-4.034,0,0.336816,0.327723,0.001347,0.077,0.000606,-0.006429,0.237056,-3.064883,0.356249,3.131023
0.096000,0.100007,-0.070400,-4.034,0,0.336144,0.327723,0.001346,0.077,0.000606,-0.006429,0.236384,-3.064860,0.354536,3.131030
0.097000,0.100007,-0.070400,-4.034,0,0.335466,0.327722,0.001346,0.077,0.000606,-0.006429,0.235706,-3.064836,0.352809,3.131038
0.098000,0.100007,-0.070400,-4.034,0,0.334781,0.327722,0.001345,0.077,0.000605,-0.006429,0.235021,-3.064812,0.351066,3.131046
0.099000,0.100007,-0.070400,-4.034,0,0.334090,0.327721,0.001344,0.077,0.000605,-0.006430,0.234331,-3.064788,0.349308,3.131053
0.100000,0.100007,-0.070400,-4.034,0,0.333393,0.327720,0.001344,0.077,0.000605,-0.006430,0.233633,-3.064764,0.347535,3.131061
0.101000,0.100007,-0.070400,-4.034,0,0.332689,0.327720,0.001343,0.077,0.000604,-0.006430,0.232930,-3.064739,0.345747,3.131069
0.102000,0.100007,-0.070400,-4.034,0,0.331979,0.327719,0.001343,0.077,0.000604,-0.006430,0.232220,-3.064715,0.343943,3.131076
0.103000,0.100007,-0.070400,-4.034,0,0.331263,0.327719,0.001342,0.077,0.000604,-0.006431,0.231503,-3.064690,0.342124,3.131084
0.104000,0.100008,-0.070400,-4.034,0,0.330540,0.327718,0.001342,0.077,0.000604,-0.006431,0.230780,-3.064665,0.340290,3.131092
0.105000,0.100008,-0.070400,-4.034,0,0.329811,0.327718,0.001341,0.077,0.000604,-0.006431,0.230051,-3.064640,0.338441,3.131100
