time,leg_length,hip_angle_rad,hip_angle_deg,contact,gps_x,gps_y,gps_z,roll,pitch,yaw,height_from_gps
0.045000,0.000004,-0.001000,-0.057,0,0.273908,0.006839,0.530952,-3.118166,0.950821,-3.088433,0.530952
0.046000,0.000004,-0.001000,-0.057,0,0.274062,0.006843,0.530838,-3.118189,0.950357,-3.088452,0.530838
0.047000,0.000004,-0.001000,-0.057,0,0.274219,0.006847,0.530723,-3.118212,0.949883,-3.088471,0.530723
0.048000,0.000004,-0.001000,-0.057,0,0.274379,0.006851,0.530605,-3.118236,0.949398,-3.088490,0.530605
0.049000,0.000003,-0.001000,-0.057,0,0.274542,0.006855,0.530484,-3.118261,0.948904,-3.088509,0.530484
0.050000,0.000003,-0.001000,-0.057,0,0.274709,0.006859,0.530361,-3.118286,0.948400,-3.088529,0.530361
0.051000,0.000003,-0.001000,-0.057,0,0.274879,0.006863,0.530236,-3.118311,0.947885,-3.088550,0.530236
0.052000,0.000003,-0.001000,-0.057,0,0.275053,0.006868,0.530108,-3.118337,0.947361,-3.088570,0.530108
0.053000,0.000003,-0.001000,-0.057,0,0.275229,0.006872,0.529977,-3.118363,0.946826,-3.088591,0.529977
0.054000,0.000003,-0.001000,-0.057,0,0.275409,0.006876,0.529844,-3.118390,0.946282,-3.088613,0.529844
0.055000,0.000004,-0.001000,-0.057,0,0.275592,0.006881,0.529708,-3.118417,0.945727,-3.088634,0.529708
0.056000,0.000003,-0.001000,-0.057,0,0.275778,0.006885,0.529570,-3.118444,0.945163,-3.088657,0.529570
0.057000,0.000003,-0.001000,-0.057,0,0.275967,0.006890,0.529428,-3.118472,0.944589,-3.088679,0.529428
0.058000,0.000003,-0.001000,-0.057,0,0.276159,0.006895,0.529285,-3.118501,0.944005,-3.088702,0.529285
0.059000,0.000003,-0.001000,-0.057,0,0.276355,0.006900,0.529138,-3.118530,0.943411,-3.088725,0.529138
0.060000,0.000003,-0.001000,-0.057,0,0.276554,0.006905,0.528988,-3.118559,0.942808,-3.088748,0.528988
0.061000,0.000003,-0.001000,-0.057,0,0.276756,0.006910,0.528836,-3.118589,0.942194,-3.088772,0.528836
0.062000,0.000003,-0.001000,-0.057,0,0.276960,0.006915,0.528681,-3.118619,0.941571,-3.088796,0.528681
0.063000,0.000003,-0.001000,-0.057,0,0.277169,0.006920,0.528523,-3.118649,0.940938,-3.088820,0.528523
0.064000,0.000003,-0.001000,-0.057,0,0.277380,0.006925,0.528363,-3.118680,0.940295,-3.088845,0.528363
