time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099959,-0.104397,-5.981,0,0.373334,0.328161,0.001785,0.102,0.000803,-0.009613,0.273920,-3.032250,0.451337,3.130982
0.001000,0.099964,-0.104397,-5.982,0,0.373217,0.328154,0.001777,0.102,0.000800,-0.009617,0.273798,-3.032250,0.451037,3.130974
0.002000,0.099981,-0.104398,-5.982,0,0.373095,0.328146,0.001769,0.101,0.000796,-0.009623,0.273658,-3.032250,0.450723,3.130966
0.003000,0.100001,-0.104398,-5.982,0,0.372967,0.328137,0.001761,0.101,0.000792,-0.009629,0.273511,-3.032248,0.450395,3.130958
0.004000,0.100016,-0.104399,-5.982,0,0.372834,0.328128,0.001752,0.100,0.000788,-0.009634,0.273363,-3.032246,0.450051,3.130950
0.005000,0.100023,-0.104399,-5.982,0,0.372695,0.328119,0.001742,0.100,0.000784,-0.009639,0.273217,-3.032243,0.449693,3.130942
0.006000,0.100022,-0.104399,-5.982,0,0.372551,0.328109,0.001732,0.099,0.000779,-0.009644,0.273073,-3.032239,0.449319,3.130934
0.007000,0.100016,-0.104399,-5.982,0,0.372401,0.328098,0.001722,0.099,0.000775,-0.009648,0.272929,-3.032234,0.448931,3.130926
0.008000,0.100009,-0.104399,-5.982,0,0.372246,0.328088,0.001711,0.098,0.000770,-0.009652,0.272782,-3.032228,0.448528,3.130917
0.009000,0.100003,-0.104400,-5.982,0,0.372085,0.328076,0.001700,0.097,0.000765,-0.009656,0.272627,-3.032221,0.448110,3.130909
0.010000,0.100000,-0.104400,-5.982,0,0.371920,0.328065,0.001688,0.097,0.000760,-0.009661,0.272464,-3.032213,0.447677,3.130901
0.011000,0.100000,-0.104400,-5.982,0,0.371748,0.328052,0.001676,0.096,0.000754,-0.009667,0.272293,-3.032205,0.447229,3.130892
0.012000,0.100002,-0.104400,-5.982,0,0.371571,0.328040,0.001664,0.095,0.000749,-0.009673,0.272114,-3.032196,0.446766,3.130884
0.013000,0.100004,-0.104400,-5.982,0,0.371389,0.328027,0.001651,0.095,0.000743,-0.009679,0.271929,-3.032186,0.446288,3.130875
0.014000,0.100007,-0.104400,-5.982,0,0.371202,0.328014,0.001638,0.094,0.000737,-0.009685,0.271739,-3.032176,0.445795,3.130867
0.015000,0.100008,-0.104400,-5.982,0,0.371009,0.328001,0.001625,0.093,0.000731,-0.009691,0.271545,-3.032165,0.445287,3.130858
0.016000,0.100008,-0.104400,-5.982,0,0.370810,0.327988,0.001611,0.092,0.000725,-0.009697,0.271346,-3.032154,0.444763,3.130849
0.017000,0.100008,-0.104400,-5.982,0,0.370606,0.327974,0.001597,0.092,0.000719,-0.009703,0.271143,-3.032142,0.444225,3.130841
0.018000,0.100007,-0.104400,-5.982,0,0.370396,0.327960,0.001584,0.091,0.000713,-0.009709,0.270934,-3.032130,0.443672,3.130832
0.019000,0.100006,-0.104400,-5.982,0,0.370181,0.327946,0.001570,0.090,0.000706,-0.009715,0.270720,-3.032118,0.443104,3.130823
0.020000,0.100005,-0.104400,-5.982,0,0.369961,0.327932,0.001556,0.089,0.000700,-0.009722,0.270500,-3.032106,0.442521,3.130815
0.021000,0.100005,-0.104400,-5.982,0,0.369735,0.327918,0.001541,0.088,0.000694,-0.009728,0.270274,-3.032093,0.441922,3.130806
