time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099959,-0.053394,-3.059,0,0.373318,0.328164,0.001788,0.102,0.000804,-0.004530,0.273502,-3.083292,0.450773,3.130886
0.001000,0.099964,-0.053395,-3.059,0,0.373201,0.328157,0.001780,0.102,0.000801,-0.004534,0.273380,-3.083292,0.450473,3.130878
0.002000,0.099981,-0.053396,-3.059,0,0.373078,0.328149,0.001772,0.102,0.000797,-0.004539,0.273240,-3.083291,0.450159,3.130870
0.003000,0.100001,-0.053397,-3.059,0,0.372950,0.328140,0.001764,0.101,0.000794,-0.004543,0.273092,-3.083289,0.449830,3.130862
0.004000,0.100016,-0.053398,-3.059,0,0.372817,0.328132,0.001755,0.101,0.000790,-0.004548,0.272943,-3.083287,0.449486,3.130854
0.005000,0.100023,-0.053398,-3.059,0,0.372678,0.328122,0.001746,0.100,0.000786,-0.004553,0.272798,-3.083283,0.449127,3.130846
0.006000,0.100022,-0.053398,-3.060,0,0.372533,0.328113,0.001736,0.099,0.000781,-0.004557,0.272654,-3.083279,0.448753,3.130838
0.007000,0.100016,-0.053399,-3.060,0,0.372383,0.328103,0.001726,0.099,0.000777,-0.004561,0.272510,-3.083274,0.448364,3.130831
0.008000,0.100009,-0.053399,-3.060,0,0.372228,0.328092,0.001716,0.098,0.000772,-0.004566,0.272362,-3.083267,0.447961,3.130823
0.009000,0.100003,-0.053399,-3.060,0,0.372067,0.328081,0.001705,0.098,0.000767,-0.004570,0.272207,-3.083261,0.447542,3.130815
0.010000,0.100000,-0.053399,-3.060,0,0.371901,0.328070,0.001694,0.097,0.000762,-0.004575,0.272044,-3.083253,0.447108,3.130807
0.011000,0.100000,-0.053400,-3.060,0,0.371730,0.328059,0.001682,0.096,0.000757,-0.004580,0.271872,-3.083244,0.446660,3.130799
0.012000,0.100002,-0.053400,-3.060,0,0.371553,0.328047,0.001670,0.096,0.000752,-0.004586,0.271693,-3.083235,0.446196,3.130791
0.013000,0.100005,-0.053400,-3.060,0,0.371370,0.328035,0.001658,0.095,0.000746,-0.004592,0.271508,-3.083225,0.445718,3.130783
