time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099958,-0.190396,-10.909,0,0.373415,0.328142,0.001765,0.101,0.000794,-0.018123,0.275263,-2.946151,0.452277,3.131209
0.001000,0.099964,-0.190397,-10.909,0,0.373299,0.328130,0.001753,0.100,0.000789,-0.018129,0.275142,-2.946151,0.451979,3.131197
0.002000,0.099981,-0.190397,-10.909,0,0.373177,0.328117,0.001740,0.100,0.000783,-0.018138,0.275003,-2.946151,0.451666,3.131184
0.003000,0.100001,-0.190398,-10.909,0,0.373050,0.328104,0.001727,0.099,0.000777,-0.018148,0.274856,-2.946150,0.451339,3.131171
0.004000,0.100016,-0.190398,-10.909,0,0.372917,0.328090,0.001713,0.098,0.000771,-0.018157,0.274709,-2.946148,0.450997,3.131158
0.005000,0.100023,-0.190399,-10.909,0,0.372779,0.328075,0.001699,0.097,0.000764,-0.018165,0.274564,-2.946145,0.450640,3.131145
0.006000,0.100022,-0.190399,-10.909,0,0.372636,0.328060,0.001684,0.096,0.000758,-0.018171,0.274422,-2.946141,0.450269,3.131131
0.007000,0.100016,-0.190399,-10.909,0,0.372487,0.328045,0.001668,0.096,0.000751,-0.018177,0.274278,-2.946136,0.449882,3.131118
0.008000,0.100009,-0.190399,-10.909,0,0.372333,0.328029,0.001652,0.095,0.000743,-0.018183,0.274131,-2.946130,0.449481,3.131104
0.009000,0.100003,-0.190399,-10.909,0,0.372173,0.328012,0.001636,0.094,0.000736,-0.018190,0.273977,-2.946123,0.449064,3.131090
0.010000,0.100000,-0.190400,-10.909,0,0.372008,0.327995,0.001618,0.093,0.000728,-0.018197,0.273815,-2.946116,0.448633,3.131077
0.011000,0.100000,-0.190400,-10.909,0,0.371837,0.327977,0.001601,0.092,0.000720,-0.018205,0.273644,-2.946107,0.448187,3.131063
0.012000,0.100002,-0.190400,-10.909,0,0.371661,0.327959,0.001583,0.091,0.000712,-0.018213,0.273466,-2.946098,0.447726,3.131048
0.013000,0.100004,-0.190400,-10.909,0,0.371480,0.327941,0.001564,0.090,0.000704,-0.018222,0.273282,-2.946089,0.447250,3.131034
