time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099958,-0.529341,-30.329,0,0.374359,0.328017,0.001641,0.094,0.000738,-0.049737,0.288082,-2.606389,0.455704,3.132987
0.001000,0.099963,-0.529353,-30.330,0,0.374245,0.328006,0.001629,0.093,0.000733,-0.049746,0.287963,-2.606378,0.455409,3.132976
0.002000,0.099980,-0.529362,-30.330,0,0.374125,0.327993,0.001617,0.093,0.000728,-0.049761,0.287829,-2.606368,0.455101,3.132964
0.003000,0.100000,-0.529370,-30.331,0,0.374000,0.327980,0.001604,0.092,0.000722,-0.049777,0.287688,-2.606359,0.454778,3.132951
0.004000,0.100015,-0.529376,-30.331,0,0.373870,0.327967,0.001590,0.091,0.000716,-0.049791,0.287545,-2.606351,0.454441,3.132938
0.005000,0.100022,-0.529381,-30.331,0,0.373734,0.327952,0.001576,0.090,0.000709,-0.049802,0.287403,-2.606344,0.454089,3.132925
0.006000,0.100021,-0.529385,-30.332,0,0.373593,0.327937,0.001560,0.089,0.000702,-0.049809,0.287263,-2.606337,0.453722,3.132911
0.007000,0.100015,-0.529388,-30.332,0,0.373446,0.327921,0.001544,0.088,0.000695,-0.049813,0.287121,-2.606330,0.453341,3.132897
0.008000,0.100008,-0.529390,-30.332,0,0.373294,0.327904,0.001527,0.088,0.000687,-0.049817,0.286976,-2.606322,0.452945,3.132882
0.009000,0.100002,-0.529392,-30.332,0,0.373137,0.327887,0.001510,0.087,0.000680,-0.049823,0.286824,-2.606315,0.452534,3.132867
0.010000,0.099999,-0.529394,-30.332,0,0.372975,0.327868,0.001492,0.085,0.000671,-0.049829,0.286664,-2.606308,0.452109,3.132852
0.011000,0.099999,-0.529395,-30.332,0,0.372807,0.327850,0.001473,0.084,0.000663,-0.049838,0.286496,-2.606300,0.451669,3.132836
