time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099958,-0.208393,-11.940,0,0.373440,0.328138,0.001762,0.101,0.000793,-0.019887,0.275645,-2.928127,0.452471,3.131270
0.001000,0.099964,-0.208394,-11.940,0,0.373324,0.328126,0.001749,0.100,0.000787,-0.019894,0.275523,-2.928127,0.452173,3.131257
0.002000,0.099981,-0.208395,-11.940,0,0.373202,0.328113,0.001737,0.100,0.000782,-0.019904,0.275385,-2.928126,0.451861,3.131245
0.003000,0.100001,-0.208396,-11.940,0,0.373075,0.328100,0.001724,0.099,0.000776,-0.019914,0.275238,-2.928124,0.451534,3.131232
0.004000,0.100016,-0.208397,-11.940,0,0.372943,0.328086,0.001710,0.098,0.000769,-0.019923,0.275091,-2.928122,0.451192,3.131219
0.005000,0.100023,-0.208398,-11.940,0,0.372805,0.328072,0.001695,0.097,0.000763,-0.019931,0.274947,-2.928119,0.450836,3.131205
0.006000,0.100022,-0.208398,-11.940,0,0.372662,0.328057,0.001680,0.096,0.000756,-0.019938,0.274804,-2.928114,0.450464,3.131192
0.007000,0.100016,-0.208398,-11.940,0,0.372513,0.328041,0.001665,0.095,0.000749,-0.019944,0.274661,-2.928109,0.450078,3.131178
0.008000,0.100009,-0.208399,-11.940,0,0.372359,0.328025,0.001648,0.094,0.000742,-0.019949,0.274514,-2.928104,0.449677,3.131165
0.009000,0.100003,-0.208399,-11.940,0,0.372199,0.328008,0.001632,0.093,0.000734,-0.019956,0.274360,-2.928097,0.449261,3.131151
0.010000,0.100000,-0.208399,-11.940,0,0.372034,0.327991,0.001614,0.093,0.000727,-0.019963,0.274198,-2.928089,0.448830,3.131137
0.011000,0.100000,-0.208399,-11.940,0,0.371863,0.327973,0.001597,0.091,0.000719,-0.019971,0.274027,-2.928081,0.448384,3.131123
0.012000,0.100002,-0.208399,-11.940,0,0.371688,0.327955,0.001579,0.090,0.000710,-0.019979,0.273850,-2.928072,0.447923,3.131108
0.013000,0.100004,-0.208400,-11.940,0,0.371506,0.327937,0.001560,0.089,0.000702,-0.019988,0.273666,-2.928062,0.447447,3.131094
0.014000,0.100007,-0.208400,-11.940,0,0.371320,0.327918,0.001541,0.088,0.000693,-0.019997,0.273477,-2.928052,0.446956,3.131079
0.015000,0.100008,-0.208400,-11.940,0,0.371127,0.327898,0.001522,0.087,0.000685,-0.020006,0.273283,-2.928042,0.446451,3.131065
0.016000,0.100008,-0.208400,-11.940,0,0.370930,0.327879,0.001502,0.086,0.000676,-0.020015,0.273085,-2.928030,0.445930,3.131050
0.017000,0.100008,-0.208400,-11.940,0,0.370727,0.327859,0.001482,0.085,0.000667,-0.020024,0.272883,-2.928019,0.445394,3.131035
0.018000,0.100007,-0.208400,-11.940,0,0.370518,0.327839,0.001462,0.084,0.000658,-0.020033,0.272675,-2.928007,0.444843,3.131020
0.019000,0.100006,-0.208400,-11.940,0,0.370304,0.327818,0.001442,0.083,0.000649,-0.020042,0.272462,-2.927995,0.444278,3.131005
0.020000,0.100005,-0.208400,-11.940,0,0.370084,0.327798,0.001421,0.081,0.000640,-0.020051,0.272243,-2.927982,0.443697,3.130989
0.021000,0.100005,-0.208400,-11.940,0,0.369859,0.327777,0.001400,0.080,0.000630,-0.020060,0.272018,-2.927970,0.443101,3.130974
0.022000,0.100005,-0.208400,-11.940,0,0.369628,0.327756,0.001380,0.079,0.000621,-0.020070,0.271787,-2.927957,0.442490,3.130959
0.023000,0.100006,-0.208400,-11.940,0,0.369392,0.327735,0.001359,0.078,0.000611,-0.020079,0.271550,-2.927944,0.441865,3.130943
