Time,Phase,Z,Height_Dist,Vx,Vz,W_cent,Phi_leg,Leg_R
0.02,0,0.16379581692671202,1.0,-0.010552708014588408,-0.13216728827419866,-0.004105462515710534,0.020527472367990872,-3.914899646957626e-05
0.04,0,0.1598009758639558,1.0,-0.025134650109448486,-0.26080150750754094,0.0069327823387366205,0.007734309771960058,6.277138106299245e-06
0.06,1,0.15323173363030393,1.0,-0.04355325134342003,-0.3897972655067805,0.01065549233959795,-0.0015761649778296416,6.980653351473798e-06
0.08,1,0.14460926002053365,1.0,-0.04464768299211608,-0.40961257822796915,-0.033433594790299725,-0.004795698006920904,-0.004453028093977709
0.1,1,0.13980218543290626,1.0,-0.0011025007567999623,-0.047484349952414684,-0.05516081416262475,-0.005909862867833713,-0.00809299523640083
0.12,2,0.14175068828284507,1.0,-0.01799792984702453,0.19255501278686582,-0.09797972402653121,0.022695122825215276,-0.006248208750247822
0.14,2,0.14586064772265422,1.0,0.052226422270429396,0.2001540874608243,-0.051802734228612035,0.02159845579193847,-0.0030248049056647826
0.16,2,0.14918290847246649,1.0,0.01912708908141658,0.12413275694686532,-0.02492047527991037,0.020787597170244435,-0.0004709668156179219
0.18,2,0.15040110311583516,1.0,-0.0006366022342607636,0.0023901694754524527,-0.029321196575005093,0.018818173577117264,1.146564839162945e-05
0.2,2,0.14915439541083997,1.0,-0.013239068096582152,-0.11498258888067991,-0.03312625228923949,0.015729232238599105,-0.0006497794375442951
0.22,2,0.14654813579278214,1.0,-0.011082856126776175,-0.11990469256634162,-0.08692741430582629,0.014885402782871562,-0.0027460277537426185
0.24,2,0.14525875484023623,1.0,-0.0001772705073843639,-0.003771765757359935,-0.10900083946885353,0.01432866218829045,-0.003708285022685771
0.26,2,0.14588482812129294,1.0,-0.008900622010532544,0.04240264659352566,-0.059837200886869724,0.014135398643206457,-0.0031302101786235335
0.28,2,0.14638745868485015,1.0,0.004807823606012285,0.006606987477009163,-0.04991160648259996,0.01422310982712005,-0.0027457379586000802
0.3,2,0.14620854561200503,1.0,0.002822013416892144,-0.014348895916754811,-0.06449421371707009,0.014542626371783518,-0.0029149554206639072
0.32,2,0.1460670024685985,1.0,-0.00043828449636240663,0.0014507311271449996,-0.06891063234570893,0.015118466939321847,-0.0030231620976132055
0.34,2,0.14621029257743398,1.0,-0.000971090414803033,0.008847890854757345,-0.061608776905697216,0.01594561528950354,-0.0028988296669142754
0.36,2,0.14630922750070627,1.0,0.0004569089901429457,0.0006244107297048718,-0.05910558510890951,0.016991455589215495,-0.0028230910582675416
0.38,2,0.146267406143193,1.0,0.0006314243155003396,-0.002799205106429614,-0.06202608210931215,0.018239102633359264,-0.002861000007615989
0.4,2,0.14625214454252838,1.0,-1.5497334249214845e-05,0.0014376188351428176,-0.06241515530291952,0.019683583256820077,-0.00287070249371902
0.42,2,0.14630711060857388,1.0,-0.00013568109652473126,0.0030194114654658044,-0.060062746138178635,0.021310908083297966,-0.0028232844107322587
0.44,2,0.1463443541782344,1.0,0.00016385771611782118,0.0006433462794719347,-0.059001360600885455,0.023100998996752553,-0.0027928921902557725
0.46,2,0.1463429409080117,1.0,0.00021767122743154843,-0.0002198610540848911,-0.05932573794736884,0.025038424643840016,-0.0027929984885201667
0.48,2,0.1463505966195938,1.0,2.4729947534218866e-05,0.001003222629497591,-0.05888112582691507,0.027110250946316944,-0.00278336248720515
0.5,2,0.1463767883716418,1.0,-3.7669033725595824e-05,0.0013095969328968948,-0.05767286510838243,0.029300810954291396,-0.0027581158254086436
0.52,2,0.14639486858085507,1.0,3.894860511888254e-05,0.000509278584137629,-0.056888807919652784,0.03159327926283149,-0.0027395614008320227
0.54,2,0.14640092135428914,1.0,3.1978146575184496e-05,0.00026917658182967763,-0.05647429258898162,0.0339722860833771,-0.00272977815850042
0.56,2,0.1464097147295037,1.0,-5.272573833092764e-05,0.0005988998800221523,-0.05578436671360709,0.03642303179486334,-0.002716403814831037
0.58,2,0.1464224106866342,1.0,-8.58440199480448e-05,0.0005828051147238611,-0.05489531513674928,0.03893015038265231,-0.00269908722141807
0.6,2,0.14643084172309087,1.0,-7.999359841193154e-05,0.0002788531827946361,-0.05415812021852817,0.04147832210630578,-0.0026846171876402313
0.62,2,0.1464349379967102,1.0,-0.00010604571154537723,0.0001836459180837302,-0.053511127534489056,0.0440528680136877,-0.0026727290065155737
0.64,2,0.14643916382989364,1.0,-0.00015008366954782915,0.0002317931550588348,-0.052774547461997834,0.04663949733845647,-0.0026597721465801993
0.66,2,0.14644330391336682,1.0,-0.00017376388544709798,0.000160914245678212,-0.051999248653678,0.04922412854068462,-0.002646161027208425
0.68,2,0.1464450566924084,1.0,-0.00018718673416850962,2.6338378172896526e-05,-0.05128199504184083,0.0517930980957074,-0.002633848940327374
0.7000000000000001,2,0.14644481418830194,1.0,-0.00020948312129398516,-3.345330010229297e-05,-0.05059310274646567,0.05433330161184982,-0.0026224922178458626
0.72,2,0.14644392711078055,1.0,-0.00023311781738311055,-5.649887638292661e-05,-0.04988741875100455,0.056832161259797544,-0.002611080870288066
0.74,2,0.14644225935816133,1.0,-0.0002479032968349948,-0.00011330963234357228,-0.04918774587520103,0.0592776311815443,-0.0025998824503380524
0.76,2,0.1464392820517253,1.0,-0.00025810399828518626,-0.00017783475531052417,-0.04852023911666725,0.06165827023665067,-0.0025894350226049138
0.78,2,0.14643530641804248,1.0,-0.00026845084749593795,-0.000213218115746594,-0.04787463580957496,0.06396329011442826,-0.002579573615119792
0.8,2,0.1464308137208293,1.0,-0.0002760506757626402,-0.00023515441374688528,-0.0472410584551608,0.06618257310577312,-0.0025700331574633963
0.8200000000000001,2,0.14642583529118214,1.0,-0.0002783445530174511,-0.0002619118279478805,-0.04662867659666059,0.06830669549112249,-0.0025609303803824143
0.84,2,0.14642034766926992,1.0,-0.0002769063552898743,-0.00028361975651369775,-0.04604500599142414,0.0703269563874358,-0.0025524096183506136
0.86,2,0.146414576168639,1.0,-0.00027296897042727863,-0.0002909894133429347,-0.045487302444247035,0.07223539989349406,-0.0025444066884935403
0.88,2,0.14640876016397358,1.0,-0.00026566346383871675,-0.00028996955186988416,-0.044954089868265434,0.07402483077176306,-0.002536853596842579
0.9,2,0.1464030014845539,1.0,-0.0002545171899348553,-0.00028540801602638943,-0.04444901348599206,0.07568882630819779,-0.0025297921866028325
0.92,2,0.14639739668479657,1.0,-0.00024024435185676651,-0.00027419924966687326,-0.04397445793574706,0.07722174466344098,-0.002523256814286938
0.9400000000000001,2,0.1463921070095605,1.0,-0.00022334906929488696,-0.0002544834475370905,-0.04352989086064962,0.0786187301134489,-0.002517220515055221
0.96,2,0.14638727997283518,1.0,-0.00020377774356816758,-0.00022873593999439557,-0.04311536958895301,0.0798757144506987,-0.0025116613802753903
0.98,2,0.146383014117289,1.0,-0.0001816850214164667,-0.00019860898631263169,-0.04273220427186697,0.08098941355186341,-0.002506587223227482
1.0,2,0.14637940116338005,1.0,-0.0001575643163720386,-0.0001635808099531566,-0.0423810459390106,0.08195732003621888,-0.002501998261958721
1.02,2,0.1463765403622899,1.0,-0.00013181698887976268,-0.00012379797550976512,-0.04206165755576974,0.08277769302698204,-0.002497876231975728
1.04,2,0.14637451337390756,1.0,-0.00010469949762725861,-8.060111059138286e-05,-0.041773954490897935,0.08344954440412329,-0.0024942051987981843
1.06,2,0.14637337701196687,1.0,-7.654886924335358e-05,-3.4942737869858576e-05,-0.041518066150825206,0.08397262108894969,-0.002490976157724545
1.08,2,0.14637317646769293,1.0,-4.7786543500016876e-05,1.281351214021953e-05,-0.04129378346517942,0.0843473841003065,-0.0024881756560116383
1.1,2,0.14637394799754294,1.0,-1.8786860067621092e-05,6.204832159184548e-05,-0.04110056983580579,0.08457498493432368,-0.002485784196395452
1.12,2,0.1463757116524465,1.0,1.0125925375970013e-05,0.00011185149773051961,-0.04093786501818686,0.08465723908010105,-0.0024837826357647346
1.1400000000000001,2,0.14637847067227144,1.0,3.8615561803734266e-05,0.00016149584433633457,-0.040805070121663345,0.0845965967064093,-0.0024821528364063687
1.16,2,0.14638221614264005,1.0,6.634439980723883e-05,0.0002104417917980772,-0.04070139745082635,0.08439611102037194,-0.002480874411298251
