Time,Phase,Height,Vel_Z,Angle,Contact
0.001,0,0.1651860413091957,165.1860413091957,0.008856965317345575,False
0.002,0,0.16517756648708226,-0.008474822113441194,0.017140942988961697,False
0.003,0,0.16516057982143642,-0.016986665645840615,0.02498343643800685,False
0.004,0,0.16513370631276827,-0.026873508668145973,0.0324051130409128,False
0.005,0,0.16509691157281364,-0.036794739954632005,0.03941977989774053,False
0.006,0,0.16505106838937889,-0.04584318343475724,0.04603916764084952,False
0.007,0,0.1649973607875299,-0.053707601848973496,0.052271456477197886,False
0.008,0,0.16493678600327052,-0.06057478425938734,0.05812132680466321,False
0.009000000000000001,0,0.16486988826568802,-0.06689773758250528,0.06359134857326038,False
0.01,0,0.1647967353146278,-0.07315295106022357,0.06868371669734935,False
0.011,0,0.16471706388545176,-0.07967142917603143,0.07340157609744644,False
0.012,0,0.1646304887774882,-0.08657510796356016,0.07774962195459302,False
0.013000000000000001,0,0.16453668424978482,-0.09380452770338388,0.08173404263507975,False
0.014,0,0.16443548629150664,-0.10119795827817635,0.08536208177251184,False
0.015,0,0.1643269079193973,-0.1085783721093414,0.08864152290464918,False
0.016,0,0.1642110912688065,-0.11581665059079427,0.0915803049427311,False
0.017,0,0.16408823336803238,-0.12285790077412595,0.09418634306442082,False
0.018000000000000002,0,0.1639585189453154,-0.12971442271697553,0.09646752308826974,False
0.019,0,0.16382208016346234,-0.136438781853071,0.09843178690622383,False
0.02,0,0.16367898759168206,-0.14309257178027335,0.10008722792373312,False
0.021,0,0.16352926489843167,-0.14972269325039256,0.10144214675275676,False
0.022,0,0.16337291436081708,-0.15635053761459128,0.10250505451550938,False
0.023,0,0.16320994098379676,-0.16297337702031456,0.10328463756708768,False
0.024,0,0.16304036755020887,-0.169573433587894,0.10378970741956271,False
0.025,0,0.16286423850207604,-0.17612904813282815,0.10402915596742195,False
0.026000000000000002,0,0.16268161497963585,-0.18262352244019509,0.10401192577790827,False
0.027,0,0.162492565527195,-0.18904945244085924,0.10374699506630891,False
0.028,0,0.16229715693165014,-0.1954085955448437,0.10324337108779488,False
0.029,0,0.1620954481423873,-0.2017087892628444,0.10251008479313943,False
0.03,0,0.1618874882237149,-0.20795991867239572,0.10155618213552696,False
0.031,0,0.16167331763759402,-0.21417058612088757,0.10039071100028399,False
0.032,0,0.16145297128240388,-0.22034635519013746,0.09902270544405481,False
0.033,0,0.1612264816550838,-0.22648962732008115,0.09746116992875359,False
0.034,0,0.16099388100953918,-0.23260064554461723,0.09571506569423076,False
0.035,0,0.16075520209844996,-0.238678911089224,0.09379330009035348,False
0.036000000000000004,0,0.16051047770103416,-0.24472439741579644,0.09170471840827583,False
0.037,0,0.1602597394830415,-0.25073821799265206,0.08945809704115779,False
0.038,0,0.16000301678228415,-0.2567227007573558,0.08706213678436642,False
0.039,0,0.15974033574579713,-0.26268103648702246,0.084525455550529,False
0.04,0,0.15947171899008936,-0.26861675570777344,0.08185658038888503,False
0.041,0,0.15919718572802555,-0.27453326206380857,0.07906393917003629,False
0.042,0,0.1589167521721191,-0.28043355590645636,0.07615585248254902,False
0.043000000000000003,0,0.1586304319980195,-0.2863201740996024,0.07314052620028673,False
0.044,0,0.15833823670674915,-0.2921952912703363,0.07002604493485702,False
0.045,0,0.15804017581467195,-0.29806089207720654,0.06682036632725331,False
0.046,0,0.1577362568841409,-0.30391893053105523,0.0635313159607429,False
0.047,0,0.15742648545928098,-0.3097714248599115,0.06016658263189283,False
0.048,0,0.15711086498393623,-0.31562047534475224,0.05673371377739131,False
0.049,0,0.1567893967611663,-0.3214682227699328,0.053240110966843515,False
0.05,0,0.15646207998178652,-0.3273167793797771,0.04969302547942242,False
0.051000000000000004,0,0.1561289118187483,-0.3331681630382166,0.046099554047874844,False
0.052000000000000005,0,0.15578988756455725,-0.3390242541910504,0.04246663486663278,False
0.053,0,0.15544500078331192,-0.3448867812453349,0.03880104393368112,False
0.054,0,0.1550942434545463,-0.35075732876560517,0.035109391751121696,False
0.055,0,0.15473760609726192,-0.3566373572843895,0.03139812036893891,False
0.056,0,0.1543750778737191,-0.362528223542824,0.027673500733599317,False
0.057,0,0.15400664667997951,-0.36843119373958233,0.0239416303006733,False
0.058,0,0.1536322992326248,-0.37434744735470593,0.02020843088356939,False
0.059000000000000004,0,0.15325202115937608,-0.3802780732487243,0.01647964673116201,False
0.06,0,0.15286579709746057,-0.38622406191551883,0.012760842853111999,False
0.061,0,0.1524736107995556,-0.3921862979049673,0.009057403669687011,False
0.062,0,0.1520754452443769,-0.3981655551786867,0.005374532418122018,False
0.063,0,0.15167128274800007,-0.404162496376842,0.0017172588858451045,False
0.064,0,0.15126110507258597,-0.41017767541409733,-0.001909652197292569,False
0.065,0,0.15084489352969443,-0.41621154289153695,-0.005501433485842533,False
0.066,0,0.15042262908040724,-0.4222644492871963,-0.009053686411734319,False
0.067,0,0.1499942924280359,-0.428336652371325,-0.01256211892602277,False
0.068,0,0.1495598641087833,-0.43442831925261105,-0.016022631280336874,True
0.069,0,0.14912157072548754,-0.4382933832957625,-0.018698956603235395,True
0.07,0,0.14868040845625563,-0.4411622692319095,-0.02104765084468685,True
